fkey,sos_detected_date,predicted_sowing_date,sos_detected_dop,predicted_sowing_dop,sow_date_survey,sow_dop_survey,Di_estimated_observed,approach,sensor,smooth
287,2022-12-20,2022-12-10,353,343,2022-12-23,356,-13 days,minimum,sentinel-2,spline
365,2022-11-02,2022-10-23,305,295,2022-12-20,353,-58 days,minimum,sentinel-2,sg
365,2022-10-02,2022-09-22,274,264,2022-12-20,353,-89 days,minimum,sentinel-2,spline
373,2022-12-20,2022-12-10,353,343,2022-12-06,339,4 days,minimum,sentinel-2,sg
373,2022-12-23,2022-12-13,356,346,2022-12-06,339,7 days,minimum,sentinel-2,spline
386,2023-01-04,2022-12-25,368,358,2022-12-17,350,8 days,minimum,sentinel-2,sg
386,2023-01-06,2022-12-27,370,360,2022-12-17,350,10 days,minimum,sentinel-2,spline
392,2022-12-15,2022-12-05,348,338,2022-12-14,347,-9 days,minimum,sentinel-2,sg
392,2022-12-23,2022-12-13,356,346,2022-12-14,347,-1 days,minimum,sentinel-2,spline
393,2022-12-01,2022-11-21,334,324,2022-12-18,351,-27 days,minimum,sentinel-2,sg
393,2022-11-29,2022-11-19,332,322,2022-12-18,351,-29 days,minimum,sentinel-2,spline
401,2022-12-20,2022-12-10,353,343,2022-12-18,351,-8 days,minimum,sentinel-2,sg
401,2022-12-21,2022-12-11,354,344,2022-12-18,351,-7 days,minimum,sentinel-2,spline
421,2022-12-13,2022-12-03,346,336,2022-11-19,322,14 days,minimum,sentinel-2,sg
421,2022-12-09,2022-11-29,342,332,2022-11-19,322,10 days,minimum,sentinel-2,spline
424,2022-12-13,2022-12-03,346,336,2022-11-29,332,4 days,minimum,sentinel-2,sg
424,2022-12-10,2022-11-30,343,333,2022-11-29,332,1 days,minimum,sentinel-2,spline
426,2022-12-12,2022-12-02,345,335,2022-11-20,323,12 days,minimum,sentinel-2,sg
426,2022-12-10,2022-11-30,343,333,2022-11-20,323,10 days,minimum,sentinel-2,spline
427,2022-12-14,2022-12-04,347,337,2022-12-04,337,0 days,minimum,sentinel-2,sg
427,2022-12-14,2022-12-04,347,337,2022-12-04,337,0 days,minimum,sentinel-2,spline
435,2022-12-26,2022-12-16,359,349,2022-12-23,356,-7 days,minimum,sentinel-2,sg
435,2022-12-26,2022-12-16,359,349,2022-12-23,356,-7 days,minimum,sentinel-2,spline
10,2022-11-18,2022-11-08,321,311,2022-11-05,308,3 days,minimum,MODIS,sg
10,2022-11-18,2022-11-08,321,311,2022-11-05,308,3 days,minimum,MODIS,spline
47,2022-12-20,2022-12-10,353,343,2022-12-06,339,4 days,minimum,MODIS,sg
47,2022-12-18,2022-12-08,351,341,2022-12-06,339,2 days,minimum,MODIS,spline
49,2022-12-12,2022-12-02,345,335,2022-11-12,315,20 days,minimum,MODIS,sg
49,2022-12-01,2022-11-21,334,324,2022-11-12,315,9 days,minimum,MODIS,spline
69,2022-12-11,2022-12-01,344,334,2022-12-20,353,-19 days,minimum,MODIS,sg
69,2022-12-11,2022-12-01,344,334,2022-12-20,353,-19 days,minimum,MODIS,spline
77,2022-10-19,2022-10-09,291,281,2022-12-06,339,-58 days,minimum,MODIS,sg
77,2022-10-30,2022-10-20,302,292,2022-12-06,339,-47 days,minimum,MODIS,spline
96,2022-12-12,2022-12-02,345,335,2022-12-14,347,-12 days,minimum,MODIS,sg
96,2022-12-11,2022-12-01,344,334,2022-12-14,347,-13 days,minimum,MODIS,spline
97,2022-12-06,2022-11-26,339,329,2022-12-18,351,-22 days,minimum,MODIS,sg
97,2022-12-08,2022-11-28,341,331,2022-12-18,351,-20 days,minimum,MODIS,spline
116,2022-12-24,2022-12-14,357,347,2022-12-07,340,7 days,minimum,MODIS,sg
116,2022-12-20,2022-12-10,353,343,2022-12-07,340,3 days,minimum,MODIS,spline
125,2022-12-13,2022-12-03,346,336,2022-11-19,322,14 days,minimum,MODIS,sg
125,2022-12-01,2022-11-21,334,324,2022-11-19,322,2 days,minimum,MODIS,spline
128,2022-12-06,2022-11-26,339,329,2022-11-29,332,-3 days,minimum,MODIS,sg
128,2022-12-08,2022-11-28,341,331,2022-11-29,332,-1 days,minimum,MODIS,spline
130,2022-12-14,2022-12-04,347,337,2022-11-20,323,14 days,minimum,MODIS,sg
130,2022-12-10,2022-11-30,343,333,2022-11-20,323,10 days,minimum,MODIS,spline
131,2022-12-13,2022-12-03,346,336,2022-12-04,337,-1 days,minimum,MODIS,sg
131,2022-12-01,2022-11-21,334,324,2022-12-04,337,-13 days,minimum,MODIS,spline
139,2023-01-01,2022-12-22,365,355,2022-12-23,356,-1 days,minimum,MODIS,sg
139,2023-01-02,2022-12-23,366,356,2022-12-23,356,0 days,minimum,MODIS,spline
165,2022-10-30,2022-10-20,302,292,2022-11-12,315,-23 days,minimum,MODIS,sg
165,2022-11-04,2022-10-25,307,297,2022-11-12,315,-18 days,minimum,MODIS,spline
217,2022-12-11,2022-12-01,344,334,2022-12-20,353,-19 days,minimum,MODIS,sg
217,2022-12-11,2022-12-01,344,334,2022-12-20,353,-19 days,minimum,MODIS,spline
225,2022-10-19,2022-10-09,291,281,2022-12-06,339,-58 days,minimum,MODIS,sg
