geo,id,mask,millis,AOT,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,MSK_CLDPRB,MSK_SNWPRB,NDVI,QA10,QA20,QA60,SCL,TCI_B,TCI_G,TCI_R,WVP,MSK_CLASSI_CIRRUS,MSK_CLASSI_OPAQUE,MSK_CLASSI_SNOW_ICE,total_pixels,masked_pixels,unmasked_pixels,total_area,masked_area,unmasked_area,tile,fkey,Timestamp,day
,20230420T045701_20230420T050458_T44RRN,1.0,1681967509357,324.0,596.6804619826756,3028.0476419634265,2488.1665062560155,775.4412897016364,1124.435033686237,1458.0577478344562,1770.6405197305105,2121.051010587103,2292.949470644851,2468.995187680462,2559.085178055823,2605.1207892204043,0.0,0.0,0.2583300438318815,0.0,0.0,0.0,5.0,80.28729547641964,115.11164581328202,149.0014436958614,1796.9268527430222,,,,15,0,15,666.6426835602406,0.0,666.6426835602406,T44RRN,225,2023-04-20 05:11:49.357,2023-04-20
,20230425T045659_20230425T050910_T44RRN,1.0,1682399512788,798.0,0.0,1552.0692974013475,1164.5057747834458,33.55871029836382,309.7752646775745,587.436958614052,886.1130895091434,1269.8917228103946,1592.7276227141483,1613.761308950914,1742.599615014437,1826.3748796920115,0.0,0.0,0.4730823411873041,0.0,0.0,0.0,5.0,6.38362652232747,32.05004812319538,60.87872954764197,2262.6660250240616,,,,15,0,15,666.6426835602406,0.0,666.6426835602406,T44RRN,225,2023-04-25 05:11:52.788,2023-04-25
,20230430T045701_20230430T050309_T44RRN,0.0,1682831510814,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,15,0,666.6426835602406,666.6426835602406,0.0,T44RRN,225,2023-04-30 05:11:50.814,2023-04-30
,20230505T045659_20230505T050455_T44RRN,1.0,1683263513486,432.0,453.1342637151107,3788.1568816169397,3161.0240615976904,704.6963426371512,1169.4538017324353,1521.3695861405197,1984.86958614052,2785.7459095283925,3172.6448508180947,3234.381135707412,3500.7526467757457,3515.307025986526,0.0,0.0,0.36321622958112004,0.0,0.0,0.0,5.0,72.02791145332053,119.40471607314728,155.01203079884505,2724.649663137632,,,,15,0,15,666.6426835602406,0.0,666.6426835602406,T44RRN,225,2023-05-05 05:11:53.486,2023-05-05
,20230510T045701_20230510T050858_T44RRN,1.0,1683695510333,252.0,683.1342637151107,3101.0481231953804,2459.9345524542828,847.98989412897,1208.009624639076,1483.0875842155917,1785.0938402309914,2405.4533205004814,2664.0067372473536,2830.128970163619,2895.557747834456,2966.8541867179983,0.0,0.0,0.3130944646332969,0.0,0.0,0.0,5.0,86.52358036573628,122.99903753609242,151.16602502406158,939.7102983638115,,,,15,0,15,666.6426835602406,0.0,666.6426835602406,T44RRN,225,2023-05-10 05:11:50.333,2023-05-10
,20230515T045659_20230515T050145_T44RRN,1.0,1684127514762,828.0,335.3873917228105,3088.6607314725698,2547.538979788258,642.3551491819057,1064.9499518768043,1357.6477382098174,1744.3633301251202,2352.5028873917236,2737.9292589027914,2748.0538979788253,2973.6968238691047,2863.8002887391726,0.0,0.0,0.3400276563389372,0.0,0.0,0.0,5.0,66.45476419634264,109.05630413859483,138.6823869104909,2827.4398460057755,,,,15,0,15,666.6426835602406,0.0,666.6426835602406,T44RRN,225,2023-05-15 05:11:54.762,2023-05-15
,20230520T045701_20230520T050828_T44RRN,1.0,1684559513270,360.0,719.7608277189605,3183.7228103946104,2537.388354186718,892.4100096246392,1288.5649663137635,1572.3407122232916,1923.9615014436959,2501.7025986525505,2795.2637151106833,2879.384985563042,2990.7281039461022,3068.9740134744943,0.0,0.0,0.2948863418743674,0.0,0.0,0.0,5.0,91.01876804619828,131.59143407122232,160.9398460057748,1851.0774783445622,,,,15,0,15,666.6426835602406,0.0,666.6426835602406,T44RRN,225,2023-05-20 05:11:53.270,2023-05-20
,20230525T045659_20230525T050218_T44RRN,1.0,1684991515704,810.0,370.94802694898954,3304.6597690086624,2682.5741097208856,598.9696823869106,1058.0774783445622,1406.715591915303,1855.4258902791148,2572.153512993263,2995.3450433108756,3034.2502406159774,3295.236284889317,3204.2810394610206,0.0,0.0,0.3684439399650214,0.0,0.0,0.0,5.0,61.8599615014437,107.9162656400385,142.28392685274304,3319.413378248316,,,,15,0,15,666.6426835602406,0.0,666.6426835602406,T44RRN,225,2023-05-25 05:11:55.704,2023-05-25
,20230530T045701_20230530T050859_T44RRN,1.0,1685423514706,858.0,345.3753609239654,3341.790182868143,2529.0235803657365,547.2593840230991,1026.1000962463909,1378.1843118383063,1816.7877767083735,2649.819056785371,2992.987969201156,3091.115014436959,3406.570259865255,3183.987487969202,0.0,0.0,0.3866624735479047,0.0,0.0,0.0,5.0,56.87151106833493,105.26130895091435,140.65832531280077,3543.5317613089514,,,,15,0,15,666.6426835602406,0.0,666.6426835602406,T44RRN,225,2023-05-30 05:11:54.706,2023-05-30
,20230604T045659_20230604T050222_T44RRN,1.0,1685855515116,456.0,589.7213666987487,3304.5596727622715,2671.6116458132824,799.9191530317613,1169.1819056785369,1488.5717035611167,1920.0741097208856,2592.8349374398463,2973.2646775745916,3009.0048123195384,3164.3349374398463,3169.7074109720884,0.0,0.0,0.3411721027347726,0.0,0.0,0.0,5.0,81.39557266602502,119.85370548604428,151.17468719923002,2933.1323387872953,,,,15,0,15,666.6426835602406,0.0,666.6426835602406,T44RRN,225,2023-06-04 05:11:55.116,2023-06-04
,20230609T045701_20230609T050432_T44RRN,1.0,1686287514603,414.0,518.0813282001924,3271.0933589990377,2569.743503368624,739.9812319538017,1175.6111645813282,1556.28103946102,1960.155919153032,2620.2444658325308,2935.9533205004814,3033.93166506256,3154.221366698749,3216.134263715111,0.0,0.0,0.3246502759803898,0.0,0.0,0.0,5.0,75.20644850818094,119.80365736284891,158.74735322425408,1888.3195380173245,,,,15,0,15,666.6426835602406,0.0,666.6426835602406,T44RRN,225,2023-06-09 05:11:54.603,2023-06-09
,20230614T045659_20230614T050219_T44RRN,1.0,1686719515913,414.0,976.53416746872,3235.2050048123197,2704.5033686236766,1182.6891241578442,1528.6400384985561,1821.205967276227,2220.1429258902795,2709.7925890279116,3024.487487969201,3003.5842155919154,3246.1039461020214,4316.37343599615,0.0,0.0,0.24605582825448966,0.0,0.0,0.0,10.0,120.34071222329163,155.42540904716077,185.6934552454283,3207.0,,,,15,0,15,666.6426835602406,0.0,666.6426835602406,T44RRN,225,2023-06-14 05:11:55.913,2023-06-14
,20230619T045701_20230619T050750_T44RRN,1.0,1687151514959,750.0,512.5346487006738,3485.2165543792107,2661.598171318576,761.429740134745,1329.0259865255057,1793.4504331087585,2172.1251203079887,2771.4720885466795,3041.7834456207897,3087.30510105871,3412.1958614051973,3312.7078922040428,0.0,0.0,0.26742398160135483,0.0,0.0,0.0,5.0,79.04475457170355,134.8065447545717,182.9744947064485,3774.1915303176133,,,,15,0,15,666.6426835602406,0.0,666.6426835602406,T44RRN,225,2023-06-19 05:11:54.959,2023-06-19
,20230624T045659_20230624T050222_T44RRN,0.0,1687583515048,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,15,0,666.6426835602406,666.6426835602406,0.0,T44RRN,225,2023-06-24 05:11:55.048,2023-06-24
,20230629T045701_20230629T045943_T44RRN,0.0,1688015515050,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,15,0,666.6426835602406,666.6426835602406,0.0,T44RRN,225,2023-06-29 05:11:55.050,2023-06-29
,20230704T045659_20230704T050223_T44RRN,0.41289701636188647,1688447516280,1188.0,0.0,1390.2400932400933,732.4417249417248,0.0,0.0,46.1002331002331,324.86013986013984,1123.9673659673658,1610.0233100233102,1499.5454545454547,1795.8088578088577,0.0,9.273892773892774,0.0,0.937183916754402,0.0,0.0,0.0,7.0,,,5.63144963144963,2994.0,,,,15,7,8,666.6426835602406,359.1420448452819,307.50063871495865,T44RRN,225,2023-07-04 05:11:56.280,2023-07-04
,20230709T045701_20230709T050759_T44RRN,1.0,1688879516155,348.0,908.2266602502409,2238.9846005774784,1235.0,819.5052935514918,1090.4716073147258,852.5505293551494,1438.5101058710302,2907.71270452358,3321.746390760347,3192.2531280077,3582.0226179018296,3292.2117420596733,2.695861405197305,0.0,0.5778943359262447,0.0,0.0,0.0,4.0,83.53561116458134,110.84311838306064,87.16602502406161,5884.34311838306,,,,15,0,15,666.6426835602406,0.0,666.6426835602406,T44RRN,225,2023-07-09 05:11:56.155,2023-07-09
,20230714T045659_20230714T050421_T44RRN,0.0,1689311515656,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,15,0,666.6426835602406,666.6426835602406,0.0,T44RRN,225,2023-07-14 05:11:55.656,2023-07-14
