geo,id,mask,millis,BLUE,COASTAL,GREEN,NDVI,NIR,RED,SWIR1,SWIR2,total_pixels,masked_pixels,unmasked_pixels,total_area,masked_area,unmasked_area,tile,fkey,Timestamp,day
,1_T45RTJ_20220922T045701,1.0,1663822621000,0.013487139107611549,0.010092125984251969,0.039714173228346465,0.8700432000931589,0.34497716535433076,0.023905511811023624,0.1274186351706037,0.04998110236220473,5,0,5,1079.757936006434,0.0,1079.757936006434,20220922T045701,435,2022-09-22 04:57:01,2022-09-22
,2_T44RRP_20220924T044923,0.005249343832020997,1663994963000,0.0273,0.0103,0.0949,0.8127779077931196,0.38730000000000003,0.04,0.1386,0.057100000000000005,4,4,0,1090.6892989813111,1090.6892989813111,0.0,20220924T044923,435,2022-09-24 04:49:23,2022-09-24
,2_T45RTJ_20220924T044923,0.31496062992125984,1663994963000,0.025746666666666675,0.007561666666666667,0.09308166666666665,0.8445129103772802,0.43166166666666667,0.036411666666666676,0.15280333333333335,0.06104,5,3,2,1079.757936006434,920.9700037339155,158.7879322725184,20220924T044923,435,2022-09-24 04:49:23,2022-09-24
,1_T44RRP_20220927T045659,0.0,1664254619000,,,,,,,,,4,4,0,1090.6892989813111,1090.6892989813111,0.0,20220927T045659,435,2022-09-27 04:56:59,2022-09-27
,1_T45RTJ_20220927T045659,0.0,1664254619000,,,,,,,,,5,5,0,1079.757936006434,1079.757936006434,0.0,20220927T045659,435,2022-09-27 04:56:59,2022-09-27
,1_T44RRP_20220929T044711,0.0,1664426831000,,,,,,,,,4,4,0,1090.6892989813111,1090.6892989813111,0.0,20220929T044711,435,2022-09-29 04:47:11,2022-09-29
,1_T45RTJ_20220929T044711,0.0,1664426831000,,,,,,,,,5,5,0,1079.757936006434,1079.757936006434,0.0,20220929T044711,435,2022-09-29 04:47:11,2022-09-29
,2_T44RRP_20221002T044906,0.0,1664686146000,,,,,,,,,4,4,0,1090.6892989813111,1090.6892989813111,0.0,20221002T044906,435,2022-10-02 04:49:06,2022-10-02
,2_T45RTJ_20221002T044906,0.0,1664686146000,,,,,,,,,5,5,0,1079.757936006434,1079.757936006434,0.0,20221002T044906,435,2022-10-02 04:49:06,2022-10-02
,1_T44RRP_20221002T045701,1.0,1664686621000,0.018388713910761155,0.013697375328083988,0.041584514435695545,0.8403950416535856,0.30664698162729664,0.026566929133858268,0.10876299212598427,0.044532020997375334,4,0,4,1090.6892989813111,0.0,1090.6892989813111,20221002T045701,435,2022-10-02 04:57:01,2022-10-02
,1_T45RTJ_20221002T045701,1.0,1664686621000,0.018105249343832022,0.013822834645669291,0.04098845144356956,0.8527161696788461,0.3208685039370079,0.025459317585301844,0.11403622047244097,0.0460719160104987,5,0,5,1079.757936006434,0.0,1079.757936006434,20221002T045701,435,2022-10-02 04:57:01,2022-10-02
,1_T45RTJ_20221004T044659,0.0,1664858819000,,,,,,,,,5,5,0,1079.757936006434,1079.757936006434,0.0,20221004T044659,435,2022-10-04 04:46:59,2022-10-04
,1_T44RRP_20221007T045659,1.0,1665118619000,0.0111748031496063,0.010889763779527557,0.02730944881889764,0.8971754263811459,0.2766661417322835,0.014973490813648294,0.09748897637795276,0.03699396325459318,4,0,4,1090.6892989813111,0.0,1090.6892989813111,20221007T045659,435,2022-10-07 04:56:59,2022-10-07
,1_T45RTJ_20221007T045659,1.0,1665118619000,0.01011443569553806,0.011218372703412074,0.02650892388451444,0.9090463668116828,0.2943653543307087,0.013977690288713911,0.10290026246719161,0.038884514435695544,5,0,5,1079.757936006434,0.0,1079.757936006434,20221007T045659,435,2022-10-07 04:56:59,2022-10-07
,1_T44RRP_20221009T044711,1.0,1665290831000,0.016622309711286087,0.013835958005249345,0.040867191601049874,0.8401216748669973,0.3149637795275591,0.027345406824146982,0.12260288713910762,0.05516929133858268,4,0,4,1090.6892989813111,0.0,1090.6892989813111,20221009T044711,435,2022-10-09 04:47:11,2022-10-09
,1_T45RTJ_20221009T044711,1.0,1665290831000,0.016785301837270342,0.013834645669291339,0.041504461942257216,0.8530351157108889,0.33105643044619426,0.026211811023622047,0.12772493438320212,0.055659842519685046,5,0,5,1079.757936006434,0.0,1079.757936006434,20221009T044711,435,2022-10-09 04:47:11,2022-10-09
,2_T44RRP_20221010T044917,1.0,1665377357000,0.015172965879265095,0.00865984251968504,0.038850656167979,0.8475970600074354,0.2776010498687664,0.022897900262467193,0.09693963254593176,0.04143648293963255,4,0,4,1090.6892989813111,0.0,1090.6892989813111,20221010T044917,435,2022-10-10 04:49:17,2022-10-10
,2_T45RTJ_20221010T044917,1.0,1665377357000,0.01574724409448819,0.009670866141732284,0.03922073490813649,0.8535615097878739,0.29183622047244095,0.02302283464566929,0.09831286089238846,0.041458005249343836,5,0,5,1079.757936006434,0.0,1079.757936006434,20221010T044917,435,2022-10-10 04:49:17,2022-10-10
,1_T44RRP_20221012T045731,0.994750656167979,1665550651000,0.003786543535620053,0.0018113456464379943,0.04582189973614776,0.8408392892619003,0.39614670184696565,0.03429261213720317,0.1355448548812665,0.06427598944591029,4,0,4,1090.6892989813111,0.0,1090.6892989813111,20221012T045731,435,2022-10-12 04:57:31,2022-10-12
,1_T45RTJ_20221012T045731,0.8950131233595802,1665550651000,-0.0017586510263929622,0.001188856304985336,0.03933020527859237,0.856168214368151,0.40345219941348975,0.031234310850439886,0.13578475073313784,0.06494193548387096,5,0,5,1079.757936006434,0.0,1079.757936006434,20221012T045731,435,2022-10-12 04:57:31,2022-10-12
,1_T44RRP_20221014T044739,0.7270341207349083,1665722859000,0.011935379061371843,0.010593862815884477,0.03532779783393502,0.8709994508888476,0.3027490974729242,0.020867148014440437,0.10719025270758122,0.04512382671480144,4,1,3,1090.6892989813111,450.3490196078431,640.3402793734681,20221014T044739,435,2022-10-14 04:47:39,2022-10-14
,1_T45RTJ_20221014T044739,1.0,1665722859000,0.011916535433070866,0.010945406824146983,0.035437270341207354,0.8798576890205625,0.3193049868766405,0.020379527559055123,0.10995590551181102,0.04502309711286089,5,0,5,1079.757936006434,0.0,1079.757936006434,20221014T044739,435,2022-10-14 04:47:39,2022-10-14
,1_T44RRP_20221017T045809,1.0,1665982689000,0.0189246719160105,0.017925984251968504,0.043108661417322836,0.8567469138682852,0.32634120734908134,0.025178740157480315,0.1051994750656168,0.04196614173228347,4,0,4,1090.6892989813111,0.0,1090.6892989813111,20221017T045809,435,2022-10-17 04:58:09,2022-10-17
,1_T45RTJ_20221017T045809,1.0,1665982689000,0.018998950131233597,0.01757664041994751,0.04373097112860893,0.8589522285462142,0.3353351706036745,0.025445669291338582,0.10808110236220474,0.04307874015748032,5,0,5,1079.757936006434,0.0,1079.757936006434,20221017T045809,435,2022-10-17 04:58:09,2022-10-17
,2_T44RRP_20221018T044911,1.0,1666068551000,0.015043307086614171,0.009152230971128609,0.03738582677165355,0.8772102816101844,0.2811713910761155,0.018403674540682417,0.08975170603674541,0.03917244094488189,4,0,4,1090.6892989813111,0.0,1090.6892989813111,20221018T044911,435,2022-10-18 04:49:11,2022-10-18
,2_T45RTJ_20221018T044911,1.0,1666068551000,0.016234908136482942,0.010335958005249345,0.03918582677165355,0.8639408764438888,0.28891548556430446,0.021109448818897637,0.09220052493438319,0.039703937007874016,5,0,5,1079.757936006434,0.0,1079.757936006434,20221018T044911,435,2022-10-18 04:49:11,2022-10-18
,1_T44RRP_20221019T044811,1.0,1666154891000,0.01995748031496063,0.020213648293963254,0.0426509186351706,0.8196270752973303,0.2915509186351706,0.02890787401574803,0.10889763779527559,0.04884094488188977,4,0,4,1090.6892989813111,0.0,1090.6892989813111,20221019T044811,435,2022-10-19 04:48:11,2022-10-19
,1_T45RTJ_20221019T044811,1.0,1666154891000,0.01994803149606299,0.019048293963254595,0.04394015748031496,0.8155159860741915,0.2997251968503937,0.03046745406824147,0.11311338582677166,0.04978346456692914,5,0,5,1079.757936006434,0.0,1079.757936006434,20221019T044811,435,2022-10-19 04:48:11,2022-10-19
,1_T44RRP_20221022T045841,1.0,1666414721000,0.01995721784776903,0.016485564304461943,0.041391076115485564,0.8305776894539862,0.30000314960629926,0.02776666666666667,0.10406876640419949,0.04589291338582677,4,0,4,1090.6892989813111,0.0,1090.6892989813111,20221022T045841,435,2022-10-22 04:58:41,2022-10-22
,1_T45RTJ_20221022T045841,1.0,1666414721000,0.020961942257217852,0.01678267716535433,0.0431007874015748,0.8282751419835519,0.30731994750656166,0.028861942257217853,0.10738372703412075,0.04674750656167979,5,0,5,1079.757936006434,0.0,1079.757936006434,20221022T045841,435,2022-10-22 04:58:41,2022-10-22
,1_T45RTJ_20221024T044849,1.0,1666586929000,0.017450393700787402,0.014975853018372705,0.04335616797900264,0.8265839351500582,0.30688215223097115,0.02912729658792651,0.1130769028871391,0.05065905511811024,5,0,5,1079.757936006434,0.0,1079.757936006434,20221024T044849,435,2022-10-24 04:48:49,2022-10-24
,2_T44RRP_20221026T044922,1.0,1666759762000,0.01898162729658793,0.015040944881889765,0.04624960629921259,0.8218484553006108,0.2798514435695538,0.02739265091863517,0.10344251968503937,0.048751443569553805,4,0,4,1090.6892989813111,0.0,1090.6892989813111,20221026T044922,435,2022-10-26 04:49:22,2022-10-26
